seq,case_id,activity_id,timestamp,resource_id,player_team,teams_play,quarter,outcome,shot_type,shot_distance_by_foot,shot_points,score_board_dal,score_board_bos
54,play_9,pass,20:02:07,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
55,play_9,dribble,20:02:09,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
56,play_9,pass,20:02:12,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
57,play_9,pass,20:02:13,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
58,play_9,dribble,20:02:15,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
59,play_9,pass,20:02:16,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
60,play_9,dribble,20:02:17,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
61,play_9,pass,20:02:21,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
62,play_9,pass-to-assist,20:02:23,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
63,play_9,dribble,20:02:21,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,0,2
64,play_9,shot-make,20:02:26,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,driving finger roll layup,2,2,0,4
65,play_10,pass,20:02:28,Daniel Gafford,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
66,play_10,pass,20:02:29,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
67,play_10,dribble,20:02:30,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
68,play_10,pass,20:02:34,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
69,play_10,dribble,20:02:37,Daniel Gafford,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
70,play_10,pass,20:02:39,Daniel Gafford,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
