"order","timestamp","DAL_play","DAL_score_tally","score_board","BOS_score_tally","BOS_play","quarter","timediff"
386,NA,"Shooting foul by S. Hauser (drawn by P. Washington)","","70-80","","","q4",NA
387,NA,"P. Washington makes free throw 1 of 2","+1","71-80","","","q4",NA
388,NA,"D. Jones enters the game for L. Dončić","","71-80","","","q4",NA
389,NA,"","","71-80","","A. Horford enters the game for K. Porziņģis","q4",NA
390,NA,"P. Washington makes free throw 2 of 2","+1","72-80","","","q4",NA
391,NA,"","","72-80","","J. Tatum misses 3-pt jump shot from 28 ft","q4",NA
392,NA,"","","72-80","","Offensive rebound by J. Brown","q4",NA
393,NA,"","","72-80","","S. Hauser misses 3-pt jump shot from 24 ft","q4",NA
394,NA,"Defensive rebound by D. Gafford","","72-80","","","q4",NA
395,NA,"Shooting foul by J. Holiday (drawn by K. Irving)","","72-80","","","q4",NA
396,NA,"K. Irving makes free throw 1 of 2","+1","73-80","","","q4",NA
397,NA,"J. Green enters the game for P. Washington","","73-80","","","q4",NA
398,NA,"","","73-80","","P. Pritchard enters the game for J. Holiday","q4",NA
399,NA,"K. Irving makes free throw 2 of 2","+1","74-80","","","q4",NA
400,NA,"","","74-83","+3","P. Pritchard makes 3-pt jump shot from 34 ft","q4",NA
401,NA,"","","74-83","","Instant Replay (Request: Ruling Stands)","q4",NA
402,NA,"End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","q4",NA
403,NA,"4th Q","4th Q","4th Q","4th Q","4th Q","q4",NA
404,NA,"Dallas","","Score","","Boston","q4",NA
405,NA,"Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","q4",NA
406,NA,"P. Washington makes 2-pt hook shot from 5 ft (assist by L. Dončić)","+2","76-83","","","q4",NA
407,NA,"","","76-83","","Turnover by J. Tatum (traveling)","q4",NA
408,NA,"L. Dončić misses 2-pt jump shot from 14 ft","","76-83","","","q4",NA
409,NA,"Offensive rebound by D. Gafford","","76-83","","","q4",NA
410,NA,"D. Gafford misses 2-pt layup at rim","","76-83","","","q4",NA
411,NA,"","","76-83","","Defensive rebound by A. Horford","q4",NA
412,NA,"","","76-83","","J. Tatum misses 3-pt jump shot from 26 ft","q4",NA
413,NA,"Defensive rebound by P. Washington","","76-83","","","q4",NA
414,NA,"Turnover by L. Dončić (lost ball; steal by P. Pritchard)","","76-83","","","q4",NA
415,NA,"","","76-85","+2","J. Brown makes 2-pt dunk from 2 ft (assist by J. Tatum)","q4",NA
416,NA,"D. Gafford makes 2-pt layup from 1 ft (assist by K. Irving)","+2","78-85","","","q4",NA
417,NA,"","","78-88","+3","J. Tatum makes 3-pt jump shot from 23 ft (assist by P. Pritchard)","q4",NA
418,NA,"L. Dončić misses 2-pt jump shot from 17 ft","","78-88","","","q4",NA
419,NA,"","","78-88","","Defensive rebound by J. Tatum","q4",NA
420,NA,"","","78-88","","A. Horford misses 3-pt jump shot from 26 ft","q4",NA
421,NA,"Defensive rebound by K. Irving","","78-88","","","q4",NA
422,NA,"K. Irving misses 2-pt hook shot from 4 ft","","78-88","","","q4",NA
423,NA,"Offensive rebound by D. Gafford","","78-88","","","q4",NA
424,NA,"Shooting foul by D. White (drawn by D. Gafford)","","78-88","","","q4",NA
425,NA,"D. Gafford misses free throw 1 of 2","","78-88","","","q4",NA
426,NA,"Offensive rebound by Team","","78-88","","","q4",NA
427,NA,"D. Jones enters the game for L. Dončić","","78-88","","","q4",NA
428,NA,"M. Kleber enters the game for P. Washington","","78-88","","","q4",NA
429,NA,"","","78-88","","J. Holiday enters the game for J. Brown","q4",NA
430,NA,"D. Gafford makes free throw 2 of 2","+1","79-88","","","q4",NA
431,NA,"","","79-90","+2","D. White makes 2-pt jump shot from 9 ft (assist by J. Tatum)","q4",NA
432,NA,"D. Gafford makes 2-pt dunk from 1 ft (assist by K. Irving)","+2","81-90","","","q4",NA
433,NA,"","","81-90","","J. Tatum misses 2-pt jump shot from 19 ft","q4",NA
434,NA,"Defensive rebound by K. Irving","","81-90","","","q4",NA
435,NA,"K. Irving makes 2-pt layup from 1 ft","+2","83-90","","","q4",NA
436,NA,"","","83-90","","Boston full timeout","q4",NA
437,NA,"L. Dončić enters the game for D. Exum","","83-90","","","q4",NA
438,NA,"","","83-90","","K. Porziņģis enters the game for P. Pritchard","q4",NA
439,NA,"","","83-93","+3","D. White makes 3-pt jump shot from 27 ft","q4",NA
440,NA,"K. Irving misses 2-pt jump shot from 19 ft","","83-93","","","q4",NA
441,NA,"","","83-93","","Defensive rebound by A. Horford","q4",NA
442,NA,"","","83-93","","Shooting foul by K. Irving (drawn by J. Tatum)","q4",NA
443,NA,"","","83-94","+1","J. Tatum makes free throw 1 of 2","q4",NA
444,NA,"P. Washington enters the game for M. Kleber","","83-94","","","q4",NA
445,NA,"","","83-94","","J. Brown enters the game for A. Horford","q4",NA
446,NA,"","","83-95","+1","J. Tatum makes free throw 2 of 2","q4",NA
447,NA,"L. Dončić misses 2-pt jump shot from 15 ft","","83-95","","","q4",NA
448,NA,"","","83-95","","Defensive rebound by K. Porziņģis","q4",NA
449,NA,"","","83-95","","J. Tatum misses 2-pt layup from 5 ft","q4",NA
450,NA,"Defensive rebound by D. Jones","","83-95","","","q4",NA
451,NA,"P. Washington misses 3-pt jump shot from 23 ft","","83-95","","","q4",NA
452,NA,"Offensive rebound by P. Washington","","83-95","","","q4",NA
453,NA,"P. Washington makes 2-pt layup from 1 ft","+2","85-95","","","q4",NA
454,NA,"","","85-95","","J. Holiday misses 3-pt jump shot from 23 ft","q4",NA
455,NA,"Defensive rebound by D. Gafford","","85-95","","","q4",NA
456,NA,"L. Dončić misses 3-pt jump shot from 26 ft","","85-95","","","q4",NA
457,NA,"","","85-95","","Defensive rebound by J. Tatum","q4",NA
