"order","timestamp","DAL_play","DAL_score_tally","score_board","BOS_score_tally","BOS_play","quarter","timediff"
112,2024-06-09 20:10:32,"Turnover by P. Washington (lost ball; steal by D. White)","","22-20","","","q1",632S
113,2024-06-09 20:10:51,"","","22-22","+2","K. Porziņģis makes 2-pt jump shot from 16 ft (assist by J. Brown)","q1",651S
114,2024-06-09 20:11:15,"K. Irving makes 2-pt jump shot from 8 ft","+2","24-22","","","q1",675S
115,2024-06-09 20:11:29,"","","24-22","","D. White misses 3-pt jump shot from 27 ft","q1",689S
116,2024-06-09 20:11:31,"Defensive rebound by D. Gafford","","24-22","","","q1",691S
117,2024-06-09 20:11:52,"K. Irving makes 2-pt layup from 1 ft","+2","26-22","","","q1",712S
118,2024-06-09 20:11:55,"","","26-25","+3","A. Horford makes 3-pt jump shot from 24 ft (assist by J. Brown)","q1",715S
119,2024-06-09 20:12:00,"Shooting foul by K. Porziņģis (drawn by J. Green)","","26-25","","","q1",720S
120,2024-06-09 20:12:00,"J. Green misses free throw 1 of 3","","26-25","","","q1",720S
121,2024-06-09 20:12:00,"Offensive rebound by Team","","26-25","","","q1",720S
122,2024-06-09 20:12:00,"J. Green makes free throw 2 of 3","+1","27-25","","","q1",720S
123,2024-06-09 20:12:00,"J. Hardy enters the game for K. Irving","","27-25","","","q1",720S
124,2024-06-09 20:12:00,"J. Green makes free throw 3 of 3","+1","28-25","","","q1",720S
125,2024-06-09 20:10:30,"Offensive rebound by Team","","22-20","","","q2",630S
126,2024-06-09 20:10:30,"","","22-20","","Loose ball foul by J. Brown (drawn by D. Gafford)","q2",630S
127,2024-06-09 20:10:30,"D. Gafford misses free throw 1 of 2","","22-20","","","q2",630S
128,2024-06-09 20:10:30,"Offensive rebound by Team","","22-20","","","q2",630S
129,2024-06-09 20:10:30,"D. Gafford misses free throw 2 of 2","","22-20","","","q2",630S
130,2024-06-09 20:10:30,"Offensive rebound by P. Washington","","22-20","","","q2",630S
131,2024-06-09 20:10:32,"Turnover by P. Washington (lost ball; steal by D. White)","","22-20","","","q2",632S
132,2024-06-09 20:10:51,"","","22-22","+2","K. Porziņģis makes 2-pt jump shot from 16 ft (assist by J. Brown)","q2",651S
133,2024-06-09 20:11:15,"K. Irving makes 2-pt jump shot from 8 ft","+2","24-22","","","q2",675S
134,2024-06-09 20:11:29,"","","24-22","","D. White misses 3-pt jump shot from 27 ft","q2",689S
135,2024-06-09 20:11:31,"Defensive rebound by D. Gafford","","24-22","","","q2",691S
136,2024-06-09 20:11:52,"K. Irving makes 2-pt layup from 1 ft","+2","26-22","","","q2",712S
137,2024-06-09 20:11:55,"","","26-25","+3","A. Horford makes 3-pt jump shot from 24 ft (assist by J. Brown)","q2",715S
138,2024-06-09 20:12:00,"Shooting foul by K. Porziņģis (drawn by J. Green)","","26-25","","","q2",720S
139,2024-06-09 20:12:00,"J. Green misses free throw 1 of 3","","26-25","","","q2",720S
140,2024-06-09 20:12:00,"Offensive rebound by Team","","26-25","","","q2",720S
141,2024-06-09 20:12:00,"J. Green makes free throw 2 of 3","+1","27-25","","","q2",720S
142,2024-06-09 20:12:00,"J. Hardy enters the game for K. Irving","","27-25","","","q2",720S
143,2024-06-09 20:12:00,"J. Green makes free throw 3 of 3","+1","28-25","","","q2",720S
144,2024-06-09 20:12:00,"End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","q2",720S
145,NA,"2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","q2",NA
146,NA,"Dallas","","Score","","Boston","q2",NA
147,NA,"Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","q2",NA
148,NA,"","","28-27","+2","D. White makes 2-pt jump shot from 10 ft (assist by J. Brown)","q2",NA
149,NA,"L. Dončić makes 2-pt jump shot from 16 ft","+2","30-27","","","q2",NA
150,NA,"","","30-29","+2","J. Brown makes 2-pt dunk from 1 ft (assist by J. Tatum)","q2",NA
151,NA,"L. Dončić makes 3-pt jump shot from 24 ft (assist by K. Irving)","+3","33-29","","","q2",NA
152,NA,"","","33-29","","P. Pritchard misses 3-pt jump shot from 29 ft","q2",NA
153,NA,"Defensive rebound by D. Exum","","33-29","","","q2",NA
154,NA,"Turnover by D. Exum (out of bounds lost ball)","","33-29","","","q2",NA
155,NA,"","","33-29","","Turnover by J. Brown (out of bounds lost ball)","q2",NA
156,NA,"L. Dončić makes 2-pt jump shot from 14 ft","+2","35-29","","","q2",NA
157,NA,"","","35-29","","Turnover by D. White (bad pass)","q2",NA
158,NA,"","","35-29","","J. Holiday enters the game for J. Brown","q2",NA
159,NA,"L. Dončić misses 3-pt jump shot from 26 ft","","35-29","","","q2",NA
160,NA,"","","35-29","","Defensive rebound by J. Holiday","q2",NA
161,NA,"","","35-31","+2","J. Tatum makes 2-pt layup from 2 ft (assist by J. Holiday)","q2",NA
162,NA,"K. Irving misses 2-pt jump shot from 13 ft","","35-31","","","q2",NA
163,NA,"","","35-31","","Defensive rebound by J. Holiday","q2",NA
164,NA,"","","35-33","+2","K. Porziņģis makes 2-pt jump shot from 9 ft (assist by J. Tatum)","q2",NA
165,NA,"L. Dončić misses 3-pt jump shot from 26 ft","","35-33","","","q2",NA
166,NA,"","","35-33","","Defensive rebound by D. White","q2",NA
167,NA,"","","35-33","","J. Tatum misses 3-pt jump shot from 24 ft","q2",NA
168,NA,"","","35-33","","Offensive rebound by P. Pritchard","q2",NA
169,NA,"","","35-33","","J. Tatum misses 2-pt layup from 1 ft","q2",NA
170,NA,"Defensive rebound by L. Dončić","","35-33","","","q2",NA
171,NA,"Offensive foul by D. Lively (drawn by K. Porziņģis)","","35-33","","","q2",NA
172,NA,"Turnover by D. Lively (offensive foul)","","35-33","","","q2",NA
173,NA,"J. Green enters the game for D. Exum","","35-33","","","q2",NA
174,NA,"D. Jones enters the game for K. Irving","","35-33","","","q2",NA
175,NA,"","","35-33","","A. Horford enters the game for K. Porziņģis","q2",NA
176,NA,"","","35-36","+3","D. White makes 3-pt jump shot from 24 ft (assist by J. Tatum)","q2",NA
177,NA,"P. Washington misses 3-pt jump shot from 28 ft","","35-36","","","q2",NA
178,NA,"","","35-36","","Defensive rebound by A. Horford","q2",NA
179,NA,"","","35-36","","D. White misses 2-pt layup from 2 ft (block by P. Washington)","q2",NA
180,NA,"","","35-36","","Offensive rebound by D. White","q2",NA
181,NA,"","","35-36","","Turnover by J. Tatum (lost ball; steal by L. Dončić)","q2",NA
182,NA,"D. Lively misses 2-pt hook shot from 5 ft","","35-36","","","q2",NA
183,NA,"","","35-36","","Defensive rebound by A. Horford","q2",NA
184,NA,"","","35-36","","Boston full timeout","q2",NA
185,NA,"M. Kleber enters the game for D. Lively","","35-36","","","q2",NA
186,NA,"","","35-36","","D. White misses 3-pt jump shot from 26 ft","q2",NA
187,NA,"Defensive rebound by M. Kleber","","35-36","","","q2",NA
188,NA,"Def 3 sec tech foul by Team","","35-36","","","q2",NA
189,NA,"L. Dončić misses technical free throw","","35-36","","","q2",NA
190,NA,"Offensive rebound by Team","","35-36","","","q2",NA
191,NA,"K. Irving enters the game for P. Washington","","35-36","","","q2",NA
192,NA,"","","35-36","","J. Brown enters the game for D. White","q2",NA
193,NA,"J. Green misses 3-pt jump shot from 27 ft","","35-36","","","q2",NA
194,NA,"","","35-36","","Defensive rebound by J. Tatum","q2",NA
195,NA,"","","35-38","+2","J. Brown makes 2-pt layup from 1 ft","q2",NA
196,NA,"J. Green misses 3-pt jump shot from 23 ft","","35-38","","","q2",NA
197,NA,"Offensive rebound by D. Jones","","35-38","","","q2",NA
198,NA,"J. Green makes 2-pt layup from 2 ft (assist by D. Jones)","+2","37-38","","","q2",NA
199,NA,"","","37-40","+2","J. Holiday makes 2-pt layup from 3 ft (assist by P. Pritchard)","q2",NA
200,NA,"D. Jones makes 2-pt layup from 3 ft (assist by L. Dončić)","+2","39-40","","","q2",NA
201,NA,"","","39-40","","Turnover by J. Brown (bad pass; steal by D. Jones)","q2",NA
202,NA,"D. Jones makes 2-pt layup from 1 ft","+2","41-40","","","q2",NA
203,NA,"Shooting foul by J. Tatum (drawn by D. Jones)","","41-40","","","q2",NA
204,NA,"P. Washington enters the game for L. Dončić","","41-40","","","q2",NA
205,NA,"D. Jones makes free throw 1 of 1","+1","42-40","","","q2",NA
206,NA,"","","42-42","+2","J. Holiday makes 2-pt layup from 3 ft (assist by J. Tatum)","q2",NA
207,NA,"K. Irving misses 2-pt jump shot from 10 ft","","42-42","","","q2",NA
208,NA,"","","42-42","","Defensive rebound by A. Horford","q2",NA
209,NA,"","","42-42","","Personal foul by M. Kleber (drawn by J. Tatum)","q2",NA
210,NA,"D. Lively enters the game for M. Kleber","","42-42","","","q2",NA
211,NA,"","","42-42","","J. Tatum misses 3-pt jump shot from 26 ft","q2",NA
212,NA,"","","42-42","","Offensive rebound by J. Holiday","q2",NA
213,NA,"","","42-42","","J. Holiday misses 2-pt jump shot from 14 ft","q2",NA
214,NA,"Defensive rebound by J. Green","","42-42","","","q2",NA
215,NA,"Dallas full timeout","","42-42","","","q2",NA
216,NA,"L. Dončić enters the game for J. Green","","42-42","","","q2",NA
217,NA,"","","42-42","","K. Porziņģis enters the game for A. Horford","q2",NA
218,NA,"","","42-42","","D. White enters the game for P. Pritchard","q2",NA
219,NA,"D. Jones misses 3-pt jump shot from 26 ft","","42-42","","","q2",NA
220,NA,"","","42-42","","Defensive rebound by J. Holiday","q2",NA
221,NA,"","","42-44","+2","J. Holiday makes 2-pt layup from 2 ft (assist by J. Tatum)","q2",NA
222,NA,"K. Irving misses 2-pt jump shot from 10 ft","","42-44","","","q2",NA
223,NA,"","","42-44","","Defensive rebound by K. Porziņģis","q2",NA
224,NA,"","","42-44","","D. White misses 2-pt jump shot from 9 ft","q2",NA
225,NA,"Defensive rebound by D. Lively","","42-44","","","q2",NA
226,NA,"D. Jones makes 2-pt dunk from 1 ft (assist by L. Dončić)","+2","44-44","","","q2",NA
227,NA,"","","44-46","+2","J. Holiday makes 2-pt layup from 5 ft (assist by J. Tatum)","q2",NA
228,NA,"L. Dončić makes 3-pt jump shot from 27 ft","+3","47-46","","","q2",NA
229,NA,"","","47-48","+2","J. Tatum makes 2-pt layup from 3 ft","q2",NA
230,NA,"","","47-48","","Shooting foul by D. Jones (drawn by J. Tatum)","q2",NA
231,NA,"","","47-49","+1","J. Tatum makes free throw 1 of 1","q2",NA
232,NA,"K. Irving misses 2-pt jump shot from 17 ft","","47-49","","","q2",NA
233,NA,"Offensive rebound by D. Lively","","47-49","","","q2",NA
234,NA,"K. Irving makes 2-pt jump shot from 10 ft (assist by D. Jones)","+2","49-49","","","q2",NA
235,NA,"","","49-49","","Personal foul by L. Dončić (drawn by J. Brown)","q2",NA
236,NA,"","","49-50","+1","J. Brown makes free throw 1 of 2","q2",NA
237,NA,"D. Gafford enters the game for D. Jones","","49-50","","","q2",NA
238,NA,"J. Green enters the game for D. Lively","","49-50","","","q2",NA
239,NA,"","","49-50","","A. Horford enters the game for K. Porziņģis","q2",NA
240,NA,"","","49-51","+1","J. Brown makes free throw 2 of 2","q2",NA
241,NA,"P. Washington misses 2-pt layup from 4 ft","","49-51","","","q2",NA
242,NA,"","","49-51","","Defensive rebound by A. Horford","q2",NA
243,NA,"","","49-54","+3","J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Tatum)","q2",NA
244,NA,"D. Gafford makes 2-pt dunk from 1 ft (assist by K. Irving)","+2","51-54","","","q2",NA
245,NA,"","","51-54","","Violation by Team (def goaltending)","q2",NA
246,NA,"Defensive rebound by D. Lively","","42-44","","","q3",NA
247,NA,"D. Jones makes 2-pt dunk from 1 ft (assist by L. Dončić)","+2","44-44","","","q3",NA
248,NA,"","","44-46","+2","J. Holiday makes 2-pt layup from 5 ft (assist by J. Tatum)","q3",NA
249,NA,"L. Dončić makes 3-pt jump shot from 27 ft","+3","47-46","","","q3",NA
250,NA,"","","47-48","+2","J. Tatum makes 2-pt layup from 3 ft","q3",NA
251,NA,"","","47-48","","Shooting foul by D. Jones (drawn by J. Tatum)","q3",NA
252,NA,"","","47-49","+1","J. Tatum makes free throw 1 of 1","q3",NA
253,NA,"K. Irving misses 2-pt jump shot from 17 ft","","47-49","","","q3",NA
254,NA,"Offensive rebound by D. Lively","","47-49","","","q3",NA
255,NA,"K. Irving makes 2-pt jump shot from 10 ft (assist by D. Jones)","+2","49-49","","","q3",NA
256,NA,"","","49-49","","Personal foul by L. Dončić (drawn by J. Brown)","q3",NA
257,NA,"","","49-50","+1","J. Brown makes free throw 1 of 2","q3",NA
258,NA,"D. Gafford enters the game for D. Jones","","49-50","","","q3",NA
259,NA,"J. Green enters the game for D. Lively","","49-50","","","q3",NA
260,NA,"","","49-50","","A. Horford enters the game for K. Porziņģis","q3",NA
261,NA,"","","49-51","+1","J. Brown makes free throw 2 of 2","q3",NA
262,NA,"P. Washington misses 2-pt layup from 4 ft","","49-51","","","q3",NA
263,NA,"","","49-51","","Defensive rebound by A. Horford","q3",NA
264,NA,"","","49-54","+3","J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Tatum)","q3",NA
265,NA,"D. Gafford makes 2-pt dunk from 1 ft (assist by K. Irving)","+2","51-54","","","q3",NA
266,NA,"","","51-54","","Violation by Team (def goaltending)","q3",NA
267,NA,"End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","q3",NA
268,NA,"3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","q3",NA
269,NA,"Dallas","","Score","","Boston","q3",NA
270,NA,"Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","q3",NA
271,NA,"","","51-54","","J. Tatum misses 3-pt jump shot from 26 ft","q3",NA
272,NA,"Defensive rebound by D. Gafford","","51-54","","","q3",NA
273,NA,"D. Gafford makes 2-pt dunk from 1 ft (assist by L. Dončić)","+2","53-54","","","q3",NA
274,NA,"","","53-54","","Turnover by J. Brown (lost ball; steal by L. Dončić)","q3",NA
275,NA,"P. Washington makes 2-pt jump shot from 9 ft (assist by L. Dončić)","+2","55-54","","","q3",NA
276,NA,"","","55-54","","D. White misses 3-pt jump shot from 28 ft","q3",NA
277,NA,"","","55-54","","Offensive rebound by J. Holiday","q3",NA
278,NA,"","","55-56","+2","J. Tatum makes 2-pt layup from 2 ft (assist by J. Holiday)","q3",NA
279,NA,"","","55-56","","Shooting foul by K. Irving (drawn by J. Tatum)","q3",NA
280,NA,"","","55-57","+1","J. Tatum makes free throw 1 of 1","q3",NA
281,NA,"D. Gafford makes 2-pt layup from 4 ft (assist by L. Dončić)","+2","57-57","","","q3",NA
282,NA,"","","57-57","","J. Brown misses 3-pt jump shot from 24 ft","q3",NA
283,NA,"Defensive rebound by L. Dončić","","57-57","","","q3",NA
284,NA,"Turnover by L. Dončić (lost ball; steal by J. Brown)","","57-57","","","q3",NA
285,NA,"","","57-59","+2","J. Holiday makes 2-pt layup from 3 ft (assist by A. Horford)","q3",NA
286,NA,"K. Irving misses 3-pt jump shot from 32 ft","","57-59","","","q3",NA
287,NA,"","","57-59","","Defensive rebound by J. Holiday","q3",NA
288,NA,"","","57-62","+3","D. White makes 3-pt jump shot from 23 ft (assist by J. Tatum)","q3",NA
289,NA,"L. Dončić makes 2-pt jump shot from 17 ft (assist by P. Washington)","+2","59-62","","","q3",NA
290,NA,"","","59-62","","J. Brown misses 3-pt jump shot from 27 ft (block by D. Gafford)","q3",NA
291,NA,"Defensive rebound by L. Dončić","","59-62","","","q3",NA
292,NA,"P. Washington misses 3-pt jump shot from 24 ft","","59-62","","","q3",NA
293,NA,"","","59-62","","Defensive rebound by D. White","q3",NA
294,NA,"","","59-62","","J. Brown misses 2-pt jump shot from 13 ft","q3",NA
295,NA,"Defensive rebound by P. Washington","","59-62","","","q3",NA
296,NA,"D. Jones misses 3-pt jump shot from 24 ft","","59-62","","","q3",NA
297,NA,"Offensive rebound by D. Jones","","59-62","","","q3",NA
298,NA,"Turnover by D. Jones (bad pass; steal by J. Holiday)","","59-62","","","q3",NA
299,NA,"","","59-62","","Personal foul by P. Washington (drawn by J. Holiday)","q3",NA
300,NA,"","","59-63","+1","J. Tatum makes free throw 1 of 1","q3",NA
301,NA,"D. Lively enters the game for D. Gafford","","59-63","","","q3",NA
302,NA,"","","59-63","","D. White misses 3-pt jump shot from 27 ft","q3",NA
303,NA,"Defensive rebound by L. Dončić","","59-63","","","q3",NA
304,NA,"D. Lively makes 2-pt dunk from 1 ft (assist by L. Dončić)","+2","61-63","","","q3",NA
305,NA,"","","61-63","","Boston full timeout","q3",NA
306,NA,"","","61-63","","K. Porziņģis enters the game for A. Horford","q3",NA
307,NA,"","","61-63","","K. Porziņģis misses 3-pt jump shot from 27 ft","q3",NA
